NoKPMurid,NamaMurid,KatalaluanMurid,IDTingkatan
263419018994,Afan Zaka bin Usama,vid381,4
593287899576,Rafa'ah Waliyudeen bin Fehmeed,rbnxpi,5
939223697447,Munah Bunga binti Sineen,f28r6d,3
492629990165,Mishkat Haruun bin Ruwayfi,cis6ej,3
105080827805,Bisaam Ajiad bin Taseen,c5jups,4
240940333685,Aswab Raahim bin Ishraaq,n6u8h8,1
969688564425,Maymuun Senin bin Aqsad,a1zqdr,4
909106904053,Rosemah Jenab binti Muzn,wmvyr9,2
603950292752,Sibbt Aaaqil bin Wifaq,85t4cm,5
480792954119,Kuntum Rosemah binti Iesa,luvuvw,1
173861506648,Zaheera Mawiza binti Afsah,gpkosv,3
453718408822,Raqeema Cucu binti Reheeq,6ixymo,2
329723268645,Rabihah Maeen binti Panjang,niwgh9,5
123514116973,Tenuk Muda bin Hatar,6v9ywg,3
230146913450,Taqdees Puteri binti Barzin,zod2eo,4
956958616020,Teratai Cik binti Izz,gpcsvf,2
007193189486,Sajaf Uswah binti Muda,rkcp29,4
448265210103,Tembam Ibrat binti Ishraaq,akkebk,3
672522073658,Cahaya Izzati binti Bintang,0edmde,3
948945766722,Sonbol Arwaa binti Sayfudin,024o8g,3
352068029255,Aswab Sabit bin Budiharto,0ahdrw,5
991405245814,Mannal Marjia binti Johan,0537ae,4
149567006307,Usama Atheer bin Budiharto,02gfu9,3
748736555704,Mizn Awang bin Iesa,p7p9jq,4
210605818264,Afsah Barzin bin Nijat,m59dmd,4
766453890763,Mawiza Indeela binti Aayiz,2c82mv,2
213991890656,Nazra Latipah binti Zakawat,xqvgad,2
055250688744,Maeena Seniya binti Sayfudin,ouj89x,1
223547035889,Qazzafi Ghazaar bin Ishtiqal,dwa2z6,3
452033209262,Imen Kechik bin Selasa,qi88sv,1
858804520659,Azarnoush Rabihah binti Mishkat,vnkcrs,2
768884465980,Wadida Latipah binti Mishkat,a9y9ck,5
657795056643,Izzati Rufqa binti Bisaam,jv6eif,1
758950224625,Suriani Mahsuri binti Ishraaq,munmno,5
304003846040,Ibhar Sajaf binti Usama,u1mben,1
723895965262,Panjang Saqabat bin Yaqeen,v0vbvx,5
958044459682,Aarifa Tempawan binti Mudassir,3lcwq8,2
064148496042,Budiharto Qazzafi bin Panjang,cunyes,4
779468691765,Perwira Ruwayfi bin Qazzafi,udpz25,3
222579151103,Hatar Sulung bin Zakawat,oqtiuy,3
430499250937,Wardda Wardda binti Bisaam,kzplv7,3
220574477138,Jebat Zaka bin Iffaan,tkntd4,1
134345821501,Rosemah Suleika binti Bisaam,9jnfn5,3
038702499508,Wadd Tuah bin Sannan,xeo56p,1
239672835978,Sanabel Taqdees binti Barzin,8ecee0,1
624471607789,Putera Ahkam bin Senin,olpsaa,5
768066677521,Waase Rafa'ah bin Idrak,ogeza5,5
879543138585,Rafa'ah Zaafer bin Saqabat,dcnj08,4
792445613961,Haryati Marjia binti Wadd,2lmb9s,4
541413185840,Puteri Masayu binti Zulkifl,0e3s40,2
110196570084,Wasfia Soroushi binti Atheer,cbdmjx,5
290740912781,Masayu Mubaraka binti Mishkat,6gg31h,2
378499507588,Wadd Mudassir bin Selasa,pn7af0,4
813418298950,Aarifa Shanzey binti Musawwir,xlswnm,2
031506867021,Aarifa Marjia binti Panjang,z6tvfx,1
356123092540,Wadd Bujang bin Afsah,36cai2,4
658269627571,Ghazaar Perwira bin Wadood,6xt2ut,1
418221287973,Sajaf Cempaka binti Rafa'ah,ld32ao,2
117772505030,Muzakir Wadd bin Selasa,mxv907,1
968857650555,Arwaa Taqdees binti Aswab,w9pcc7,3
941140158758,Kechik Qazzafi bin Tuah,4znvwn,2
216346207709,Selasa Khajeer bin Haissam,3av6i4,4
